id,x0,x1,len,clasteId,pointType,timeToCalcNeighbours,# distance calc,len(rnnk),kNN,reverskNN,NDF
A,4.2,4,5.8,1,1,0.073694,22,2,[,B;C;],[,1;2;],[,B;C;],
B,5.9,3.9,7.07248,1,0,0.061723,22,1,[,A;C;],[,0;],[,A;C;],
C,2.8,3.5,4.48219,1,1,0.094444,26,4,[,A;H;],[,0;1;5;7;],[,A;H;],
D,12,1.3,12.0702,2,1,0.084185,28,2,[,I;J;],[,8;9;],[,I;J;],
E,10,1.3,10.0841,2,0,0.088347,28,0,[,J;I;],[,],[,J;I;],
F,1.1,3,3.19531,1,1,0.079994,26,3,[,G;C;],[,6;7;11;],[,G;C;],
G,0,2.4,2.4,1,0,0.090308,28,1,[,F;L;],[,5;],[,F;L;],
H,2.4,2,3.1241,1,1,0.0831,26,3,[,C;F;],[,2;10;11;],[,C;F;],
I,11.5,1.8,11.64,2,1,0.090772,28,3,[,D;J;],[,3;4;9;],[,D;J;],
J,11,1,11.0454,2,1,0.093917,28,3,[,I;D;],[,3;4;8;],[,I;D;],
K,0.9,0,0.9,1,0,0.091427,28,0,[,L;H;],[,],[,L;H;],
L,1,1.5,1.80278,1,1,0.108753,30,2,[,F;H;],[,6;10;],[,F;H;],
