id,x0,x1,len,clasteId,pointType,timeToCalcNeighbours,# distance calc,len(rnnk),kNN,reverskNN,NDF
K,0.9,0,0.9,-1,-1,0,39,0,[,L;H;],[,],[,L;H;],
L,1,1.5,1.80278,1,0,0,16,2,[,F;H;],[,0;2;],[,F;H;],
G,0,2.4,2.4,1,0,0,15,1,[,F;L;],[,4;],[,F;L;],
H,2.4,2,3.1241,1,1,0,12,3,[,C;F;],[,0;1;5;],[,C;F;],
F,1.1,3,3.19531,1,1,0,15,3,[,G;C;],[,1;2;3;],[,G;C;],
C,2.8,3.5,4.48219,1,1,0,11,4,[,A;H;],[,3;4;6;7;],[,A;H;],
A,4.2,4,5.8,1,0,0,6,2,[,B;C;],[,5;7;],[,B;C;],
B,5.9,3.9,7.07248,1,0,0,22,1,[,A;C;],[,6;],[,A;C;],
E,10,1.3,10.0841,2,0,0,10,0,[,J;I;],[,],[,J;I;],
J,11,1,11.0454,2,1,0,35,3,[,I;D;],[,8;10;11;],[,I;D;],
I,11.5,1.8,11.64,2,1,0,38,3,[,D;J;],[,8;9;11;],[,D;J;],
D,12,1.3,12.0702,2,0,0,38,2,[,I;J;],[,9;10;],[,I;J;],
