p0,2,4,4,3,2,7,8,2,9,11,7,7,1,8,5,6,
p1,4,7,5,5,5,5,9,6,4,8,7,9,2,9,7,10,
p2,7,10,8,7,4,8,8,5,10,11,2,8,2,5,5,10,
p3,4,9,5,7,4,7,7,13,1,7,6,8,3,8,0,8,
p4,6,7,8,5,4,7,6,3,7,10,7,9,3,8,3,7,
p5,4,7,5,5,3,4,12,2,5,13,7,5,1,10,1,7,
p6,6,10,8,8,4,7,8,2,5,10,7,8,5,8,1,8,
p7,1,0,2,0,1,6,10,7,2,7,5,8,2,7,4,9,
p8,5,9,7,6,7,7,7,2,4,9,8,9,7,6,2,8,
p9,1,0,2,1,1,5,7,8,6,7,6,6,2,8,3,8,
p10,2,7,4,5,1,9,8,4,2,5,13,8,3,10,0,8,
p11,3,11,5,8,3,13,4,5,3,12,1,8,2,6,4,9,
p12,3,7,5,5,5,8,7,4,4,7,6,7,4,6,8,13,
p13,3,8,5,6,4,8,8,4,5,9,5,4,3,8,3,7,
p14,8,11,9,8,6,7,8,3,6,10,5,7,4,6,6,8,
p15,7,11,10,8,9,9,7,3,6,10,4,7,5,6,4,9,
p16,5,5,5,7,3,3,7,6,12,7,6,15,0,8,7,6,
p17,2,4,5,3,2,7,8,2,9,11,7,7,1,8,5,6,
p18,4,7,6,5,4,8,9,8,4,7,7,7,3,8,3,8,
p19,4,6,4,7,5,8,8,6,2,7,7,11,3,9,5,8,
p20,5,10,7,9,3,8,5,9,8,6,4,8,3,8,4,8,
p21,3,7,3,5,1,1,1,5,5,0,1,6,0,8,0,8,
p22,1,1,2,1,0,7,9,4,2,7,13,8,2,10,0,8,
p23,2,1,3,2,1,8,7,3,8,6,6,8,2,8,5,8,
p24,8,9,10,8,12,7,6,5,5,7,6,8,7,10,6,9,
p25,5,10,8,7,11,9,6,2,2,8,4,8,10,5,3,6,
p26,5,6,5,4,3,4,9,1,7,10,10,6,1,10,2,4,
p27,2,5,4,4,3,9,6,4,6,10,4,6,2,8,3,8,
p28,3,8,5,6,5,7,7,4,8,7,7,8,3,8,5,10,
p29,4,7,6,5,4,11,7,3,5,10,1,4,5,9,1,7,
p30,4,10,6,7,2,9,4,3,2,8,1,8,3,7,3,8,
p31,3,4,4,3,3,7,7,6,7,7,6,5,2,8,3,7,
p32,4,8,5,6,4,9,9,6,4,7,5,8,3,8,10,7,
p33,3,5,5,3,2,5,9,3,4,10,8,8,5,8,0,7,
p34,4,11,5,8,2,7,7,4,4,7,6,8,3,8,4,8,
p35,4,9,6,7,7,6,8,1,4,10,8,7,6,11,4,5,
p36,6,9,5,4,2,6,9,4,5,4,4,10,5,10,2,8,
p37,3,4,4,7,1,0,1,6,6,0,0,6,0,8,0,8,
p38,4,5,6,4,3,7,8,2,5,10,6,6,5,9,1,7,
p39,1,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7,
p40,6,9,6,4,3,7,6,4,4,9,9,5,3,10,4,4,
p41,0,0,0,1,0,7,7,4,4,7,6,8,0,8,0,8,
p42,8,11,8,8,9,4,10,2,3,9,8,7,9,13,3,5,
p43,2,1,3,2,2,7,9,5,6,7,9,9,3,9,1,8,
p44,6,10,4,5,2,8,7,6,5,9,4,7,5,9,5,9,
p45,3,4,4,3,2,5,12,3,6,11,9,4,1,11,1,5,
