Id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,clasterId,pointType,#dist,
p0,2,4,4,3,2,7,8,2,9,11,7,7,1,8,5,6,1,1,41630
p1,4,7,5,5,5,5,9,6,4,8,7,9,2,9,7,10,1,0,42242
p2,7,10,8,7,4,8,8,5,10,11,2,8,2,5,5,10,1,0,42004
p3,4,9,5,7,4,7,7,13,1,7,6,8,3,8,0,8,2,1,42161
p4,6,7,8,5,4,7,6,3,7,10,7,9,3,8,3,7,1,0,42208
p5,4,7,5,5,3,4,12,2,5,13,7,5,1,10,1,7,1,0,42123
p6,6,10,8,8,4,7,8,2,5,10,7,8,5,8,1,8,1,1,41989
p7,1,0,2,0,1,6,10,7,2,7,5,8,2,7,4,9,38,0,42411
p8,5,9,7,6,7,7,7,2,4,9,8,9,7,6,2,8,1,1,41970
p9,1,0,2,1,1,5,7,8,6,7,6,6,2,8,3,8,3,1,42615
p10,2,7,4,5,1,9,8,4,2,5,13,8,3,10,0,8,1,0,41987
p11,3,11,5,8,3,13,4,5,3,12,1,8,2,6,4,9,6,0,42191
p12,3,7,5,5,5,8,7,4,4,7,6,7,4,6,8,13,1,0,42293
p13,3,8,5,6,4,8,8,4,5,9,5,4,3,8,3,7,1,0,42038
p14,8,11,9,8,6,7,8,3,6,10,5,7,4,6,6,8,1,0,42208
p15,7,11,10,8,9,9,7,3,6,10,4,7,5,6,4,9,1,0,41919
p16,5,5,5,7,3,3,7,6,12,7,6,15,0,8,7,6,57,0,41936
p17,2,4,5,3,2,7,8,2,9,11,7,7,1,8,5,6,1,1,41630
p18,4,7,6,5,4,8,9,8,4,7,7,7,3,8,3,8,1,0,41970
p19,4,6,4,7,5,8,8,6,2,7,7,11,3,9,5,8,1,1,42208
p20,5,10,7,9,3,8,5,9,8,6,4,8,3,8,4,8,1,0,41953
p21,3,7,3,5,1,1,1,5,5,0,1,6,0,8,0,8,27,0,42180
p22,1,1,2,1,0,7,9,4,2,7,13,8,2,10,0,8,4,1,41902
p23,2,1,3,2,1,8,7,3,8,6,6,8,2,8,5,8,1,1,41943
p24,8,9,10,8,12,7,6,5,5,7,6,8,7,10,6,9,1,0,42157
p25,5,10,8,7,11,9,6,2,2,8,4,8,10,5,3,6,1,1,42089
p26,5,6,5,4,3,4,9,1,7,10,10,6,1,10,2,4,1,0,42310
p27,2,5,4,4,3,9,6,4,6,10,4,6,2,8,3,8,5,1,41921
p28,3,8,5,6,5,7,7,4,8,7,7,8,3,8,5,10,1,0,42446
p29,4,7,6,5,4,11,7,3,5,10,1,4,5,9,1,7,1,0,41987
p30,4,10,6,7,2,9,4,3,2,8,1,8,3,7,3,8,6,1,41889
p31,3,4,4,3,3,7,7,6,7,7,6,5,2,8,3,7,1,1,42106
p32,4,8,5,6,4,9,9,6,4,7,5,8,3,8,10,7,1,0,42106
p33,3,5,5,3,2,5,9,3,4,10,8,8,5,8,0,7,1,1,42357
p34,4,11,5,8,2,7,7,4,4,7,6,8,3,8,4,8,7,1,42174
p35,4,9,6,7,7,6,8,1,4,10,8,7,6,11,4,5,1,0,41902
p36,6,9,5,4,2,6,9,4,5,4,4,10,5,10,2,8,40,0,41953
p37,3,4,4,7,1,0,1,6,6,0,0,6,0,8,0,8,8,1,42055
p38,4,5,6,4,3,7,8,2,5,10,6,6,5,9,1,7,1,1,41982
p39,1,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7,1,0,41749
p40,6,9,6,4,3,7,6,4,4,9,9,5,3,10,4,4,1,0,41681
p41,0,0,0,1,0,7,7,4,4,7,6,8,0,8,0,8,36,0,42373
p42,8,11,8,8,9,4,10,2,3,9,8,7,9,13,3,5,1,0,41885
p43,2,1,3,2,2,7,9,5,6,7,9,9,3,9,1,8,9,1,42055
p44,6,10,4,5,2,8,7,6,5,9,4,7,5,9,5,9,1,1,42140
p45,3,4,4,3,2,5,12,3,6,11,9,4,1,11,1,5,1,1,42021
p46,4,5,6,4,4,7,6,5,5,8,5,8,3,7,5,6,1,1,42072
p47,4,7,6,10,9,8,9,4,0,8,7,6,5,11,5,7,1,1,42174
p48,2,3,2,2,1,4,9,5,6,12,9,10,1,9,2,7,1,0,42195
p49,3,7,4,5,2,6,6,6,6,10,8,11,2,10,4,9,1,0,42293
p50,4,8,6,6,8,8,7,5,3,7,7,7,6,10,8,9,1,1,42123
p51,3,4,4,3,3,5,7,4,7,7,6,11,3,8,5,9,1,1,42073
p52,8,8,8,6,5,3,10,3,4,11,10,8,8,10,2,6,1,0,41902
p53,2,6,4,4,2,9,11,3,4,4,11,8,2,10,1,8,1,0,41957
p54,4,6,6,4,5,7,11,2,2,7,8,8,6,11,1,8,1,0,42055
p55,5,11,7,8,7,6,6,6,5,6,5,8,6,6,7,10,1,0,41936
p56,4,9,4,7,4,7,8,3,12,9,6,8,0,8,7,7,10,1,41902
p57,1,4,2,3,1,9,6,2,6,12,4,9,1,7,1,7,11,1,42089
p58,2,4,4,3,1,5,11,3,4,13,7,4,1,9,1,7,1,1,42089
p59,5,10,7,8,6,7,7,8,5,7,6,5,4,8,3,7,1,1,41919
p60,3,5,5,4,2,8,7,3,8,11,5,7,1,9,5,8,1,1,41851
p61,8,13,7,8,3,7,8,3,9,13,5,6,2,9,5,5,1,0,41885
p62,4,9,5,7,5,8,9,8,4,7,8,7,4,7,4,9,1,0,42055
p63,2,6,3,4,3,8,7,5,9,7,7,7,1,8,7,8,1,0,42014
p64,3,9,4,7,3,6,7,10,6,7,6,7,2,8,9,10,1,0,42140
p65,3,2,4,3,2,6,10,4,5,10,9,5,2,9,3,6,1,0,42201
p66,6,9,10,7,11,10,5,3,2,9,4,8,11,6,4,7,1,1,41936
p67,2,6,4,4,1,8,15,1,5,6,11,8,0,8,0,8,12,1,41970
